JP	KR
おかげで俺は自分の仕事がぜんぜん片づかない。	덕분에 나는 일이 전혀 끝나지 않는다.
　そこにラシィがやってくる。	거기에 라시이가 찾아온다.
　彼女は室内をきょろきょろ見回すと、ほうきでパーカーを拾い集めているカイトを見つけた。	그녀는 실내를 두리번 두리번 둘러보면 비로 파커를 주워서 있는 카이트를 발견했다.
「カイトさん、頼まれてた魔法書を見つけてきましたよ。あ、これ違う……」	"카이트 씨, 부탁한 마법서를 찾아 왔어요.아 이 다르다……"
「違うのかよ！　てかこれ料理の本じゃないか！　どこをどう間違えたんだよ、ラシィさん！」	" 다른지!근데 이 요리 책이잖아!어디를 어떻게 잘못된 거야, 라시이 씨!"
　もうゴチャゴチャになっているところに、アイリア魔人公がとどめを刺しにやってきた。	이제 고챠고챠에 되었는데, 아이 코리아 마인 공이 오금을 박다에 왔다.
「みなさんお揃いですね。マオ殿が賄賂を持ってきてくれましたので、尋問がてらお茶にしませんか？」	"여러분 모두 같이 외출이군요.마오전이 뇌물을 가져다 주었으므로, 신문 겸 차로 하지 않겠습니까?"
　賄賂って、もしかしてその大量のパウンドケーキのことか。	뇌물은 혹시 그 대량의 파운드 케이크 얘긴가?
　遅れてやってきたマオがふてくされている。	뒤늦게 찾아온 마오가 부루퉁하고 있다.
「誰かさんのせいで本業がすっかり落ち目でして、従業員を養うために賄賂持参で陳情に来たんですがね。軽くあしらわれてしまいました」	"누구 때문에 본업이 완전히 내리막 길이라서 종업원을 기르기 위해서 뇌물을 싸들고 진정하러 왔는데요?가볍게 다루어졌습니다"
　誰かさんって誰だよ。俺は知らないぞ。	누군가라니 그게 누구야.나는 모르겠다.
　だがマオの商売がうまくいっていないことには、俺もほんの少しだけ関係しているかもしれないな。	그러나 마오의 장사가 잘 되지 않는 데에는 나도 조금만 관계 있을지도 모르지.
