KR	JP
SSS급 자살헌터 @신노아	SSS級自殺ハンター@シンノア 
1화.  역대급 질투심.	1話。 歴代級嫉妬心。 
===============	=============== 
-뉴스 속보입니다.	ニュース速報です。 
-탑 40층 공략에 나선 흑룡 길드. 이번에야말로 최상급 길드의 실력을 보여주겠다고 자신했지요? 안타깝지만 또 빈손으로 돌아오게 되었습니다.	-塔40階の攻略に乗り出した黒龍ギルド。 今度こそ、最上級のギルドの実力を見せてくれと自信しましたか。 残念だが、また、手ぶらで戻ることになりました。 
-헌터 랭킹 1위!	-ハンターランキング1位! 
-염제(炎帝)가 이번에도 보스를 단독으로 토벌했습니다!	-炎帝(炎帝)が今回もボスを単独で討伐しました! 
부럽다.	うらやましい 
멍하게 텔레비전을 보며 생각했다.	ボーとしてテレビをみて思った。 
부럽다고. 부러워서 정말 미칠 것 같다고.	羨ましいなって。 うらやましくて本当に及ぼしそうだと。 
-안녕하십니까, 염제님!	-こんにちは、炎帝様! 
-아. 예. 안녕하십니까···.	-あ。 例 こんにちは・・・。 
화면 너머에서 남자가 눈썹을 찡그렸다.	画面の向こうから男が眉をひそめた。 
어찌 된 노릇인지 찡그리는 눈썹마저 잘 생겼다.	どうかしかめている眉毛までよくできた。 
-오늘도 신기록을 세우셨는데요. 보스 몬스터를 단독으로 토벌한 사람은 아직까지 염제님이 유일합니다. 소감 한마디 부탁드려도 되겠습니까?	-今日も、新記録を立てました。 ボスモンスターを単独で討伐した人はまだ炎帝様が唯一です。 感想一言お願いしてもいいですか? 
-일단 그 개 같은 호칭 좀 바꿔주시면 좋겠는데요.	-、その犬のような呼称をちょっと変えていただければいいのですが。 
-네?	-はい? 
-염제요. 왜 멀쩡한 이름을 두고 씨발스러운 별명으로 부릅니까. 부끄럽게 염제가 뭡니까, 염제가? 차라리 염병이라고 짓지. 내가 이 별명 만든 새끼 반드시 잡아다가 족칠 겁니다.	-炎帝です。 どうして健全な名前を置いてシバルなニックネームで呼びますか。 恥ずかしく炎帝が何なんですか、炎帝が? むしろ腸チブスと名付けること。 私がこのニックネーム作った縄必ず捕らえて足と思います。 
-어, 어어.	-え、どど。 
기자가 당황해서 말을 더듬었다. 하지만 더듬을 뿐. 차마 남자한테 뭐라 대꾸하진 못했다.	記者が慌てて言葉をたどった。 しかし、たどることがだけ。 どうしても男に何と返事しなかった。 
그만큼 남자는 압도적인 전설을 쓰고 있는, 이 시대의 주인공이었으니까.	それだけ男は圧倒的な伝説を書いている、この時代の主人公だったから。 
나는 조역조차 되지 못하는 엑스트라였고.	私は助役すらされないエキストラで。 
“아···.”	"あ・・・。" 
내가 중얼거렸다.	私がつぶやいた。 
“진짜 부럽다.”	"本当にうらやましい。" 
얼마나 기분 좋을까?	どんなに気持ちいいかな? 
텔레비전에서도 자기 할 말 다 하고 사는 인생이라니.	テレビでも自分の言いたいこと全部して生きる人生だなんて。 
나는 스마트폰을 만지작거렸다. 모 인터넷 커뮤니티의 헌터 게시판에 들어갔다. 사람들이 인터뷰에 어떻게 반응하는지 궁금했기 때문이다.	私はスマートフォンをいじくった。 あるインターネットコミュニティのハンターの掲示板に入った。 人たちがインタビューにどのように反応するのか知りたいたためだ。 
-야, 염제가 또 염병 떤다!	-おい、炎帝がまた、腸チブス震える! 
-저놈은 맨날 방송 나와서 염병이네.	-あいつは毎日放送出て腸チブスね。 
아니나 다를까. 게시판은 불바다가 되어 있었다.	ないか違うのだろうか。 掲示板は火の海になっていた。 
사람들은 인터뷰를 보면서 이글이글 불타올랐다.	人らは、インタビューを見ながらかっかと噴き上がった。 
-전 세계인들 보는 앞인데 말 좀 가려 하면 안 되냐?	・全世界人の見ている前なのにちょっとよけてはならないの? 
└하루 이틀도 아니잖아 뭐.	└一日二日でもないじゃん え。 
└쟤 저런 인간인 거 모두 아는데 이건 방송사 잘못이지.	└あの子あんな人間なんすべて分かるがこれは放送局の間違いだ。 
└레알.. 인터뷰 자극적으로 해서 시청률 뽑으려는 거임...	└、レアル・。 インタビュー刺激的にやって視聴率選ぼうとすることであること... 
└와 여기도 염신병자들이 점령했네 진짜 역겹다.	└とここもヨムシンビョンジャたちが占領した本当に呆れるばかりだ。 
└나도 염제처럼 되고 싶다.	└私も炎帝のようになりたい。 
염제를 옹호하는 사람과 비난하는 사람.	炎帝を擁護する者と非難する人。 
인터넷은 홍해처럼 두 쪽으로 갈라졌다.	インターネットは、紅海のように二つに分かれた。 
-염제님, 실력만큼이나 인성도 갖춘 그런 국가대표 헌터가 되시면 좋겠네요. 염제님 인터뷰가 외국어로 번역되서 퍼질 때마다 국민의 한 사람으로서 부끄러워지네요...	-炎帝様、実力と同じくらい性格も備えたそのような国を代表・ハンターになったらいいですね。 炎帝様インタビューが外国語に翻訳されて広まるたびに、国民の一人として恥ずかしくなってきますね。 
└번역‘되’서가 아니라 번역‘돼’서입니다. 외국어 신경 쓰기 전에 한글부터 사랑해주시죠. 그리고 탑에서는 국적이 어딘지 따윈 상관없습니다.	└翻訳'なる'棲家でなく、翻訳'なって'ソイます。 外国語の神経を使う前にハングルから愛してください。 そして塔では国籍がどこなのかなどはかまいません。 
└니들 주인이 한글로 욕하는 건 괜찮고? 추하다 염제야.	└ニードルの主人がハングルで悪口を言うのはいいの? 醜い炎帝だよ。 
└그냥 맞춤법 지적한 건데 왜 욕하냐; 인성이 꼬였네.	└そのままスペリング指摘したのに、どうして悪口をするんだ;人物がもつれたね。 
└꼬인 건 내 인성이 아니라 네 인생임 ㅅㄱ	└、絡まったのは俺の人物がない、君の人生であることㅅㄱ 
└나도 염제처럼 되고 싶다.	└私も炎帝のようになりたい。 
그야말로 불난리.	それこそ火事騒ぎ。 
비단 여기 커뮤니티만 시끄러운 게 아니었다.	絹ここのコミュニティだけうるさいのではなかった。 
헌터에 관해서 다루는 곳이면 어디든 난리가 났다.	ハンターに関して扱っているところなら、どこへでも大騒ぎが起こった。 
-염병 여친 떴다! 성녀랑 사귄댄다!	-腸チブスの彼女来た! 聖女と付き合っㄴデンダ! 
└성녀랑? 진짜?	└聖女と? 本当？ 
└내 친구가 헌터인데 염제랑 성녀가 같이 다니는 모습 봤다고 함.	└私の友達がハンターだが、炎帝と聖女が一緒に通っている姿を見たという。 
└내 친구가 성녀인데 아니라고 함;	└私の友達が聖女だが、ないと艦; 
└나도 염제처럼 되고 싶다.	└私も炎帝のようになりたい。 
어떤 곳에서는 이 남자가 누구와 사귀는지까지 떠들었다.	あるところではこの男が誰と付き合っているかまで、騒いだ。 
성녀는 염제와 더불어서 가장 인기가 많은 헌터 중 한 명이었다. 게시글에는 성녀의 인생샷이라 불리는 사진까지 친절하게 첨부되어 있었다. 빼어난 미모만큼이나 성격도 좋기로 유명했다.	聖女は炎帝と共に一番人気が高いハンターの1人だった。 書き込みには聖女の人生のショットと呼ばれる写真までご親切に添付されていた。 優れた美貌と同じくらい性格も良いことで有名だった。 
이런 성녀랑 사귄단다.	このような聖女と付き合ってるんだ。 
“으아으.”	"ウアウ。" 
결국 나는 스마트폰을 내려놓고 머리를 부여잡았다.	結局、私はスマートフォンを置いて頭をつかんだ。 
참고로,	ちなみに、 
-나도 염제처럼 되고 싶다.	-私も炎帝のようになりたい。 
라는 댓글을 쓴 사람은 전부 나였다.	という書き込みを書いた人は全部私だった。 
방금 게시글들을 둘러보면서 댓글을 썼다. 원래 어떤 게시글에든 난 저런 댓글을 달아놓고는 했다.	今の掲示文を見ながらコメントを書いた。 もともとどのような書き込みでも私はあんなリプライをつけておいたりした。 
왜 똑같은 댓글을 꾸준히 다냐고?	何で同じ書き込みを地道にほしいかと? 
“부럽다! 너무 부러워! 나도 잘 나가고 싶은데!”	"うらやましい! とても羨ましい! 私もよく出かけたいけど! " 
부러워서.	うらやましくて。 
이게 정말로 순수한 내 마음이다.	これが本当に純粋な私の心だ。 
혼자 사는 단칸방이니까 솔직히 얘기할 수 있는 거지만.	一人で住む部屋だから正直に話できるのですが。 
누군가가 내 자취방을 보면 깜짝 놀랄 것이다. 사방에 잡지랑 신문 쪼가리가 덕지덕지 붙어 있어서. 전부 세계 랭킹 1위, 염제와 관련된 인터뷰나 기사들이다.	誰かが私の部屋を見れば、驚くべきことだ。 四方に雑誌と新聞の断片がべたべたと貼ってあって。 全部世界ランキング1位、炎帝と関連されたインタビューや記事だ。 
「염제 단독으로 39층 토벌!」	"炎帝単独で39階討伐!" 
「솔로 플레이로 38층 토벌! 염제의 또 다른 전설!」	"ソロプレーで38階討伐!炎帝のまた他の伝説!" 
「헌터 유수하. 세계 랭킹 1위에 등극. 한국인으로서 최초.」	"ハンターユスハ。世界ランキング1位に踊り出だ。韓国人として初。" 
　ㆍ	ㆍ 
　ㆍ	ㆍ 
　ㆍ	ㆍ 
「검성의 실종으로 텅 비어버린 랭킹 1위의 옥좌. 다음에 차지할 주인공은 누구? 외국 전문가들 입을 모아 “최유력 후보는 한국의 유수하”.」	"剣聖の失踪でがらんとしてしまったランキング1位の玉座。次に獲得する主人公は誰? 外国の専門家らの口をそろえて"最有力候補は、韓国のユスハ"。" 
「난공불락 10층 돌파. 수수께끼의 영웅은 과연 누구?」	"難攻不落10階突破。謎の英雄は果たして誰?" 
「검성, 실종 22일 차. 헌터 업계 최악의 혼란이 도래하는가.」	"剣聖、行方不明22日差。ハンター業界最悪の混乱が到来するのか。" 
가장 최근에 뜬 신문 기사부터 시작해서 벌써 십 년도 더 된 기사까지.	一番最近に浮いた新聞記事から始めてもう十年以上過ぎた記事まで。 
벽을 빼곡하게 메운 신문 쪼가리들. 어떤 종이는 깨끗했지만 오래된 종이는 누렇게 변질되었다. 말 그대로 역사였다. 염제의 역사. 아니, 헌터 유수하가 염제라는 별명을 얻기도 전부터 기록된 역사였다.	壁を埋め尽くした新聞の切れ端。 どんな紙にはきれいだったが、古い紙は黄色く変質された。 言葉そのまま歴史だった。 炎帝の歴史。 いや、ハンターユスハが炎帝というニックネームを得ることも前から記録された歴史だった。 
아아.	『ああ。 
‘나도 염제처럼 성공하고 싶다···.’	'私も炎帝のように成功したい・・・。' 
다른 사람들이 부러워할 만큼 성공해버리고 싶다. 성공해서, 여태까지 나를 깔보거나 존중하지 않은 인간들한테 본때를 보여주고 싶다.	他の人がうらやむようなだけに成功してしまいたい。 成功して、今まで私を見下したり、尊重しない人間たちに手本を見せたい。 
심지어 본때를 보여주고 난 다음엔 ‘앞으로는 착하게 사십쇼’ 하고 너그럽게 용서해주어, 속이 넓은 남자라는 평가까지 받고 싶다···.	さらに、手本を見せてくれた後は'これからは善良に暮らしてください'して大目に許してくれて、胃が広い男という評価まで受けたい・・・。 
그렇다. 나는 텔레비전 속의 영웅을 질투하고 있었다.	そうだ。 私はテレビの中の英雄に嫉妬していた。 
-염제님.	-炎帝様。 
-와. 염제가 아니라 이름으로 불러달라니까? 기레기질 하면 뇌만 썩는 줄 알았는데 귓구멍도 썩습니까?	-きて。 炎帝ではなく、名前と呼んでちょうだい。 キレ気質すれば脳だけが腐っていくと思っていたが、耳の穴も腐っますか? 
-죄, 죄송합니다. 마지막으로 시청자 여러분께 한 말씀 부탁드립니다!	-罪、申し訳ありません。 最後に視聴者の皆さんに一言お願いします! 
-하아. 무슨 한 말씀이요?	-はあ。 何の一言ですか? 
-염제님을 보고 노력하는 헌터 지망생들이 많습니다. 이십 대 초반에 탑을 들어가자마자 각성! 한 달도 되지 않아 보스 몬스터 격파! 그야말로 전설을 써내린 헌터, 염제 유수하! 지망생들한테 성공의 비결을 딱 한마디로 정의해서! 조언해주시죠!	-炎帝様を見て努力するハンター志望生たちが多いです。 二十代前半に塔を入るや否や、覚醒! 一ヵ月も経たないうちにボスモンスター撃破! それこそ伝説を書いたハンター、炎帝ユスハ! 志望生たちに成功の秘訣を、一言で定義して! 助言してください! 
염제가 하, 헛웃음을 지었다.	炎帝は、ハ、そら笑いを浮かべた。 
-내가 한마디 한다고 성공할 놈이면 어차피 뭘 해도 성공하지. 내가 조언하든 말든 뭐 달라집니까.	-私が一言だと成功するやつにはどうせ何をしても成功する。 私がアドバイスしてもしなくても、何か違ってきますか。 
-그래도 부디 한 말씀을!	-それでもどうかおっしゃったお話を! 
-아, 이놈의 방송국 놈들은 진짜···. 알겠습니다. 그럼 몇 마디만.	-あ、こいつの放送局やつらは本当に・・・。 了解致しました。 それでは、いくつか。 
